Heteroatom ID,Annotation
1E8,not a cofactor
1F1,not a cofactor
1NP,not a cofactor
3PG,not a cofactor
486,not a cofactor
9JT,not a cofactor
A8S,not a cofactor
ADE,not a cofactor
ADP,not a cofactor
AMP,not a cofactor
ARS,not a cofactor
ATP,not a cofactor
B3P,not a cofactor
B49,not a cofactor
BEZ,not a cofactor
BRL,not a cofactor
BYZ,not a cofactor
CA,not a cofactor
CO,not a cofactor
CO2,not a cofactor
CO3,not a cofactor
COA,Coenzyme A
COM,Coenzyme M
CPS,not a cofactor
CU,not a cofactor
CU1,not a cofactor
CXS,not a cofactor
D1D,not a cofactor
D48,not a cofactor
DB8,not a cofactor
DIF,not a cofactor
DIO,not a cofactor
DKA,not a cofactor
DMA,not a cofactor
DMF,not a cofactor
DTU,not a cofactor
EDK,not a cofactor
EDT,not a cofactor
ERY,not a cofactor
F5A,not a cofactor
FE,not a cofactor
GSH,Glutathione
GTP,not a cofactor
GW9,not a cofactor
H6P,not a cofactor
HCI,not a cofactor
HV2,not a cofactor
HVK,not a cofactor
HXA,not a cofactor
IMN,not a cofactor
IPE,not a cofactor
ISN,not a cofactor
IVA,not a cofactor
IZA,not a cofactor
K,not a cofactor
KMT,not a cofactor
KNA,not a cofactor
LAC,not a cofactor
LDN,not a cofactor
LMR,not a cofactor
LSA,not a cofactor
LU2,not a cofactor
LU8,not a cofactor
LZ1,not a cofactor
MAE,not a cofactor
ME2,not a cofactor
MG,not a cofactor
MLA,not a cofactor
MLT,not a cofactor
MYI,not a cofactor
NA,not a cofactor
NHE,not a cofactor
NI,not a cofactor
NO3,not a cofactor
NOV,not a cofactor
O4B,not a cofactor
OAA,not a cofactor
OXE,not a cofactor
OXY,not a cofactor
P15,not a cofactor
P4C,not a cofactor
PDG,not a cofactor
PDO,not a cofactor
PER,not a cofactor
PGO,not a cofactor
PGU,not a cofactor
PL6,not a cofactor
PLA,not a cofactor
PLP,Pyridoxal 5'-phosphate
PLR,Pyridoxal 5'-phosphate
PMP,Pyridoxal 5'-phosphate
PPI,not a cofactor
PSZ,not a cofactor
PZO,not a cofactor
QUK,not a cofactor
RXT,not a cofactor
SKE,not a cofactor
SRT,not a cofactor
STI,not a cofactor
STL,not a cofactor
STU,not a cofactor
TAK,not a cofactor
TAR,not a cofactor
UNU,not a cofactor
WY1,not a cofactor
XGS,not a cofactor
Y6V,not a cofactor
ZN,not a cofactor
